Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
"Mottisfont Abbey Garden, House and Estate",South East,Hampshire,Romsey,Rural,,Historic House/ House and Garden / Palace,376043,393250,208021,240195,320976,366046,Exact,"Over 200,000",14%,-7%,Yes,£15 or Over
Stourhead House and Garden,South West,Wiltshire,Warminster,Rural,,Historic House/ House and Garden / Palace,393779,392929,255761,320521,375197,376253,Exact,"Over 200,000",0%,-4%,Yes,£15 or Over
Walker Art Gallery,North West,Merseyside,Liverpool,Urban,,Museum and/or Art Gallery,369363,391765,98485,80688,199171,218865,Exact,"Over 200,000",10%,-44%,No,Not Applicable
Young V&A,London,Greater London,Bethnal Green,Rural,,Museum,418271,386944,90709,Not available,0,405149,,"Over 200,000",Not available,5%,No,Not Applicable
Nymans,South East,West Sussex,Mid Sussex,Rural,RH17 6EB,Garden,354502,382948,243364,307085,350780,400031,Exact,"Over 200,000",14%,4%,Yes,£15 or Over
Dover Castle,South East,Kent,Dover,Coastal,,Castle / Fort,365461.96,368243,120184,148479,224782,270290,Exact,"Over 200,000",20%,-27%,Yes,£15 or Over
RHS Garden Hyde Hall,East of England,Essex,Chelmsford,Rural,,Garden,332170,360002,275972,409761.3208,398001,386561,An Estimate,"Over 200,000",-3%,7%,Yes,£10.00-£14.99
St Michael's Mount,South West,Cornwall,Marazion,Rural,,Historic House/ House and Garden / Palace,347773,359554,102021,429237,375885,418364,,"Over 200,000",11%,16%,Yes,£15 or Over
Tyntesfield,South West,Somerset,North Somerset,Rural,BS48 1NX,Historic House/ House and Garden / Palace,301765,356766,204416,305813,365925,401636,Exact,"Over 200,000",10%,13%,Yes,£15 or Over
Osborne House,South East,Isle of Wight,East Cowes,Coastal,,Historic House/ House and Garden / Palace,304927,354709,105711,221347,266370,274747,Exact,"Over 200,000",3%,-23%,Yes,£15 or Over
Lost Gardens of Heligan,South West,Cornwall,,Rural,PL26 6EN,Garden,354969,349989,Not available,340934,312179,312179,Exact,"Over 200,000",0%,-11%,Yes,£15 or Over
Fitzwilliam Museum,East of England,Cambridgeshire,Cambridge,Rural,,Museum and/or Art Gallery,351779,349484,104326,98760,371071,402620,,"Over 200,000",9%,15%,No,Not Applicable
Wollaton Hall and Park,East Midlands,Nottinghamshire,Nottingham City,Urban,NG8 2AE,Museum and/or Art Gallery,318387,341218,Not available,651602,649853,697908,Exact,"Over 200,000",7%,105%,No,Not Applicable
Dunham Massey,North West,Greater Manchester,Altrincham,Rural,,Historic House/ House and Garden / Palace,310093,340235,388908,522346,525819,517543,Exact,"Over 200,000",-2%,52%,Yes,£7.50-£9.99
Wimpole Hall and Home Farm,East of England,Cambridgeshire,Royston,Rural,,Historic House/ House and Garden / Palace,304191,335199,230278,294808,343767,356557,Exact,"Over 200,000",4%,6%,Yes,£15 or Over
Nowton Park,East of England,Suffolk ,Bury St Edmunds,Rural,,Country Park,280470,334508,402628,424912,332120,354608.25,An Estimate,"Over 200,000",7%,6%,No,Not Applicable
Cambridge University Botanic Garden,East of England,Cambridgeshire,Cambridge,Urban,CB2 1JE,Garden,304000,334455,193490,290854,345186,348295,Exact,"Over 200,000",1%,4%,Yes,£5.00-£7.49
Chichester Cathedral,South East,West Sussex,Chichester,Urban,PO19 1PX,Place of Worship (still in use),330630,334351,196070,152325,216405,271263,Exact,"Over 200,000",25%,-19%,No,Not Applicable
Customs and Excise National Museum,North West,Merseyside,Liverpool,Urban,,Museum and/or Art Gallery,284681,328311,Not available,Not available,218894,209981,Exact,"Over 200,000",-4%,-36%,No,Not Applicable
HMS Belfast,London,Greater London,London,Urban,,Other Historic Property,297941,327206,41301,60035,167933,208498,Exact,"Over 200,000",24%,-36%,Yes,£15 or Over
Beaulieu,South East,Hampshire,Brockenhurst,Rural,,Museum and/or Art Gallery,320594,327131,142542,277140.678,327026,321034,,"Over 200,000",-2%,-2%,Yes,£15 or Over
The Beatles Story,North West,Merseyside,Liverpool,Urban,L3 4AD,Museum and/or Art Gallery,300000,327000,63370,87803,191888,236536,Exact,"Over 200,000",23%,-28%,Yes,£15 or Over
Wild Place Project,South West ,Somerset,City of Bristol,Rural,BS10 7TP,Safari Park / Zoo / Aquarium / Aviary,218282,317031,206967,224100,265675,317242,Exact,"Over 200,000",19%,0%,Yes,£15 or Over
Discovery Museum,North East,Tyne and Wear,Newcastle upon Tyne,Urban,,Museum and/or Art Gallery,406068,314921,6378,81940,160945,185157,Exact,"100,001-200,000",15%,-41%,No,Not Applicable
Wakehurst,South East,West Sussex,Mid Sussex,Rural,RH17 6TN,Garden,354957,312813,342545,398758,384415,400123,Exact,"Over 200,000",4%,28%,Yes,£15 or Over
Dudley Zoo & Castle,West Midlands,West Midlands,Dudley,Rural,DY1 4QF,Safari Park / Zoo / Aquarium / Aviary,296910,311219,196787,228225,300054,302386,Exact,"Over 200,000",1%,-3%,Yes,£15 or Over
National Memorial Arboretum,West Midlands,Staffordshire,East Staffordshire,Rural,DE13 7AR,Heritage / Visitor Centre,322807,310960,148115,271979,299344,280407,Exact,"Over 200,000",-6%,-10%,No,Not Applicable
Gibside,North East,Tyne and Wear,Newcastle Upon Tyne,Urban,,Garden,270168,307900,198546,239972,248578,210454,Exact,"Over 200,000",-15%,-32%,Yes,£10.00-£14.99
Minack Theatre,South West,Cornwall,,Coastal,TR19 6JU,Other,280467,305356,104342,186200,216235,208906,Exact,"Over 200,000",-3%,-32%,Yes,£10.00-£14.99
Royal Pavilion,South East,East Sussex,Brighton,Urban,,Historic House/ House and Garden / Palace,300038,301675,56298,73159,168818,237031,Exact,"Over 200,000",40%,-21%,Yes,£15 or Over
Hardwick Hall,East Midlands,Derbyshire,Bolsover,Rural,S44 5QJ,Historic House/ House and Garden / Palace,285379,298283,154675,206350,243315,269722,Exact,"Over 200,000",11%,-10%,Yes,£15 or Over
Sheffield Park Garden,South East,East Sussex,Uckfield,Rural,,Garden,306692,295384,255868,296195,293726,284358,Exact,"Over 200,000",-3%,-4%,Yes,Not available
Lotherton Hall & Gardens,Y&H,West Yorkshire,Leeds,Rural,LS25 3EB,Museum and/or Art Gallery,453335,290835,230763,237239.7727,Not available,180551,An Estimate,"100,001-200,000",Not available,-38%,Yes,£7.50-£9.99
Croome Park (National Trust),West Midlands,Worcestershire,Worcester,Rural,,Historic House/ House and Garden / Palace,257614,289841,183810,224367,241819,252156,Exact,"Over 200,000",4%,-13%,Yes,Not available
Quarry Bank Mill and Garden,North West,Cheshire,Wilmslow,Rural,,Other Historic Property,240277,285762,174909,189404,247716,252147,Exact,"Over 200,000",2%,-12%,Yes,£15 or Over
National Trust Ickworth,East of England,Suffolk,St Edmundsbury,Rural,IP29 5QE,Historic House/ House and Garden / Palace,254073,283956,205183,263273,287547,325900,Exact,"Over 200,000",13%,15%,Yes,£10.00-£14.99
Bletchley Park,South East,Buckinghamshire,Milton Keynes,Urban,MK3 6 EB,Heritage / Visitor Centre,258964,282250,Not available,124821,188270,198749,Exact,"100,001-200,000",6%,-30%,Yes,£15 or Over
Tate St Ives,South West,Cornwall,St Ives,Rural,,Museum,302864,278747,87889,129622.6027,188447,179154,,"100,001-200,000",-5%,-36%,Yes,Not available
The National Trust Killerton House & Gardens,South West,Devon,EXETER,Rural,,Historic House/ House and Garden / Palace,274788,276716,134037,173045,197710,209383,Exact,"Over 200,000",6%,-24%,Yes,Not available
Lanhydrock House and Garden,South West,Cornwall,Bodmin,Rural,,Historic House/ House and Garden / Palace,273149,275079,29653,124419,162601,179056,Exact,"100,001-200,000",10%,-35%,Yes,Not available
Castle Howard,Y&H,North Yorkshire,York,Coastal,,Historic House/ House and Garden / Palace,225800,274593,168445,232172.1739,266998,259401,,"Over 200,000",-3%,-6%,Yes,£15 or Over
National Marine Aquarium,South West,Devon,Plymouth,Coastal,PL4 0LF,Safari Park / Zoo / Aquarium / Aviary,240431,272301,Not available,166800,323139,350911,Exact,"Over 200,000",9%,29%,Yes,£15 or Over
Leeds City Museum,Y&H,West Yorkshire,Leeds,Urban,,Museum and/or Art Gallery,299465,271155,22274,118940.1961,210554,224731,,"Over 200,000",7%,-17%,No,Not Applicable
Ogden Water Country Park,Y&H,West Yorkshire,Halifax,Rural,HX2 8XZ,Nature Reserve / Wetlands / Wildlife Trips,250000,270000,270000,280000,280000,280000,An Estimate,"Over 200,000",0%,4%,No,Not Applicable
Dyrham Park,South West,Gloucestershire,Chippenham,Rural,,Historic House/ House and Garden / Palace,263442,267717,162415,204473,202266,246139,Exact,"Over 200,000",22%,-8%,Yes,£15 or Over
The Beaney (including Canterbury Tourism Information),South East,Kent,Canterbury,Urban,,Museum and/or Art Gallery,275245,265389,63095,135195,271175,338728,Exact,"Over 200,000",25%,28%,No,Not Applicable
WWT Slimbridge,South West,Gloucestershire,Gloucester,Rural,,Nature Reserve / Wetlands / Wildlife Trips,265738,261751,156649,185726,223631,245249,Exact,"Over 200,000",10%,-6%,Yes,£15 or Over
Corfe Castle,South West,Dorset,Purbeck,Rural,BH20 5EZ,Castle / Fort,237992,259655,115605,204185,238216,232229,Exact,"Over 200,000",-3%,-11%,Yes,£10.00-£14.99
Royal Albert Memorial Museum & Art Gallery - RAMM,South West,Devon,Exeter,Urban,EX4 3RX,Museum and/or Art Gallery,253847,256738,62294,81323,192700,216400,An Estimate,"Over 200,000",12%,-16%,No,Not Applicable
RHS Rosemoor,South West,Devon,Torridge,Rural,EX38 8PH,Garden,234027,256126,161514,238569,228047,238876,Exact,"Over 200,000",5%,-7%,Yes,£10.00-£14.99
"Cragside, National Trust",North East,Northumberland,Morpeth,Rural,,Historic House/ House and Garden / Palace,236672,255005,141226,226536,231188,244988,Exact,"Over 200,000",6%,-4%,Yes,Not available
The Childrens Country House at Sudbury,East Midlands,Derbyshire,Sheffield,Rural,,Historic House/ House and Garden / Palace,190087,254083,45365,Not available,66690,116810,Exact,"100,001-200,000",75%,-54%,Yes,£10.00-£14.99
Chartwell,South East,Kent,Westerham,Urban,,Historic House/ House and Garden / Palace,246336,253032,151979,184202,223877,233967,,"Over 200,000",5%,-8%,Yes,Not available
Saltram,South West,Devon,Plymouth,Urban,,Historic House/ House and Garden / Palace,209755,252075,68966,105900,148440,162508,Exact,"100,001-200,000",9%,-36%,Yes,Not available
"Wallington House, Gardens & Estate",North East,Northumberland,Morpeth,Rural,,Historic House/ House and Garden / Palace,236825,251251,163529,210215,229995,250807,Exact,"Over 200,000",9%,0%,Yes,£15 or Over
Charlecote Park,West Midlands,Warwickshire,Warwick,Rural,,Historic House/ House and Garden / Palace,208289,250032,156766,194304,205668,238869,Exact,"Over 200,000",16%,-4%,Yes,£10.00-£14.99
Shugborough Estate,West Midlands,Staffordshire,Stafford,Rural,,Historic House/ House and Garden / Palace,203652,246180,177839,234967,256236,270610,Exact,"Over 200,000",6%,10%,Yes,£10.00-£14.99
Imperial War Museum North,North West,Greater Manchester,Manchester,Urban,,Museum and/or Art Gallery,334500,244564,72310,104997.561,215245,261449,Exact,"Over 200,000",21%,7%,No,Not Applicable
Thinktank,West Midlands,West Midlands,Birmingham,Rural,,Museum and/or Art Gallery,239321,243308,66484,86561,201551,211012,,"Over 200,000",5%,-13%,Yes,£15 or Over
"Gauntlet Bird of Prey, Eagle and Vulture Park",North West,Cheshire,,Urban,WA16 0SX,Nature Reserve / Wetlands / Wildlife Trips,Not available,240000,Not available,Not available,26500,26000,An Estimate,"20,001-50,000",-2%,-89%,Yes,£10.00-£14.99
Godstone Farm,South East,Surrey,Tandridge,Rural,RH9 8LX,Farm / Rare Breeds / Farm Animals,230000,238660,124628,177022,190827,202950,Exact,"Over 200,000",6%,-15%,Yes,£10.00-£14.99
Kettle's Yard,East of England,Cambridgeshire,Cambridge,Urban,CB3 0AQ,Museum and/or Art Gallery,249000,235000,61775,37965,104616,122029,Exact,"100,001-200,000",17%,-48%,Yes,£10.00-£14.99
City Sightseeing Tour,South West,Somerset,Bath and North East Somerset,Urban,BA1 1LF,Other,241021,234976,Not available,120000,121297,106957,Exact,"100,001-200,000",-12%,-54%,Yes,£15 or Over
Baddesley Clinton,West Midlands,Warwickshire,Solihull,Rural,,Historic House/ House and Garden / Palace,221703,234696,143914,183611,204623,204873,Exact,"Over 200,000",0%,-13%,Yes,£10.00-£14.99
Stowe Landscape Gardens,South East,Buckinghamshire,Buckingham,Rural,,Garden,208644,232056,215120,212270,211735,216542,Exact,"Over 200,000",2%,-7%,Yes,Not available
Trelissick Gardens,South West,Cornwall,Truro,Coastal,,Garden,214034,227681,86613,115353,177779,186216,Exact,"100,001-200,000",5%,-18%,Yes,Not available
Hanbury Hall,West Midlands,Worcestershire,Droitwich,Rural,,Historic House/ House and Garden / Palace,200593,227624,142974,174654,199039,218243,Exact,"Over 200,000",10%,-4%,Yes,£10.00-£14.99
"Blickling Hall, Gardens and Park",East of England,Norfolk ,Norwich,Rural,,Historic House/ House and Garden / Palace,191124,225624,125607,167633,191341,214698,Exact,"Over 200,000",12%,-5%,Yes,£15 or Over
"Speke Hall, Gardens & Estate",North West,Merseyside,Liverpool,Rural,,Historic House/ House and Garden / Palace,204134,224913,99237,141113,205910,209618,Exact,"Over 200,000",2%,-7%,Yes,£10.00-£14.99
Royal Armouries Museum,Y&H,West Yorkshire ,Leeds,Urban,,Museum,197868,221371,61556,103681,220739,331574,,"Over 200,000",50%,50%,No,Not Applicable
Packwood House,West Midlands,Warwickshire,Solihull,Rural,,Historic House/ House and Garden / Palace,202114,219727,135619,163005,194676,188787,Exact,"100,001-200,000",-3%,-14%,Yes,£10.00-£14.99
The Vyne,South East,Hampshire,Basingstoke,Rural,,Historic House/ House and Garden / Palace,Not available,219053,149259,169837,153090,153699,,"100,001-200,000",0%,-30%,Yes,Not available
Ravenglass & Eskdale Railway Co Ltd,North West,Cumbria,Copeland,Rural,LA9 4QD,Steam  / Heritage Railway,208000,212000,80000,131000,169622,179000,An Estimate,"100,001-200,000",6%,-16%,Yes,£15 or Over
Kedleston Hall,East Midlands,Derbyshire,Amber Valley,Rural,DE22 5JH,Historic House/ House and Garden / Palace,185647,211655,150677,212556,225322,215296,Exact,"Over 200,000",-4%,2%,Yes,£15 or Over
Astbury Mere Country Park,North West,Cheshire,Cheshire East,Rural,CW12 4FR,Country park,299136,211584,Not available,255396,292584,405816,An Estimate,"Over 200,000",39%,92%,No,Not Applicable
Lady Lever Art Gallery,North West,Merseyside,Wirral,Urban,,Museum and/or Art Gallery,201970,210790,43964,62580,171430,183135,Exact,"100,001-200,000",7%,-13%,No,Not Applicable
Leicester Museum & Art Gallery,East Midlands,Leicestershire,Leicester,Urban,,Museum and/or Art Gallery,232342,206744,63642,77864,222128,263622,Exact,"Over 200,000",19%,28%,No,Not Applicable
Dunster Castle,South West,Somerset,West Somerset,Coastal,TA24 6SL,Castle / Fort,204625,206160,87608,127745,171445,176443,Exact,"100,001-200,000",3%,-14%,Yes,£15 or Over
Weston Park Museum,Y&H,South Yorkshire,Sheffield,Rural,,Museum and/or Art Gallery,226421,205575,62650,96025,168695,165041,Exact,"100,001-200,000",-2%,-20%,No,Not Applicable
Knole,South East,Kent,Sevenoaks,Rural,,Historic House/ House and Garden / Palace,180526,204902,67621,103340,189044,247079,Exact,"Over 200,000",31%,21%,Yes,Not available
Harewood House Trust,Y&H,West Yorkshire,Leeds,Rural,,Historic House/ House and Garden / Palace,190385,201694,120066,247937.2881,292566,236713,,"Over 200,000",-19%,17%,Yes,£15 or Over
Sissinghurst Castle Garden,South East,Kent,Cranbrook,Rural,,Garden,188469,199376,113660,149554,173582,198589,Exact,"100,001-200,000",14%,0%,Yes,Not available
National Trust Knightshayes,South West,Devon,Bolham,Rural,,Historic House/ House and Garden / Palace,189346,199334,79537,115157,140804,156663,Exact,"100,001-200,000",11%,-21%,Yes,Not available
Laing Art Gallery,North East,Tyne and Wear,Newcastle upon Tyne,Urban,,Museum and/or Art Gallery,226123,195854,11493,40226,119411,93802,Exact,"50,001-100,000",-21%,-52%,No,Not Applicable
WWT Martin Mere,North West,Lancashire,Ormskirk,Rural,,Nature Reserve / Wetlands / Wildlife Trips,210325,192443,119824,122552,127708,132646,Exact,"100,001-200,000",4%,-31%,Yes,£15 or Over
WWT London,London,Greater London,London,Urban,,Nature Reserve / Wetlands / Wildlife Trips,178091,190206,104830,104836,128760,133775,Exact,"100,001-200,000",4%,-30%,Yes,£15 or Over
Scotney Castle,South East,Kent,Tunbridge Wells,Rural,,Historic House/ House and Garden / Palace,176744,189518,123235,138056,166000,175684,Exact,"100,001-200,000",6%,-7%,Yes,Not available
Montacute House,South West,Somerset,Montacute,Rural,,Historic House/ House and Garden / Palace,167262,189128,77588,128679,160087,160197,Exact,"100,001-200,000",0%,-15%,Yes,Not available
Petworth House & Park,South East,West Sussex,Petworth,Rural,,Historic House/ House and Garden / Palace,173633,186316,107037,127458,172170,208072,Exact,"Over 200,000",21%,12%,Yes,Not available
Monument,London,Greater London,City of London,Urban,SE1 2UP,Historic Monument / Archaeological Site,Not available,182492,29485,9805.910736,81305,102312,Exact,"100,001-200,000",26%,-44%,Yes,£5.00-£7.49
Locomotion,North East,Durham,Shildon,Urban,,Museum and/or Art Gallery,174735,180697,47577,55516,78317,125121,Exact,"100,001-200,000",60%,-31%,No,Not Applicable
National Football Museum,North West,Greater Manchester,Manchester,Urban,M4 3BG,Museum and/or Art Gallery,Not available,179342,Not available,59877,167915,200568,Exact,"Over 200,000",19%,12%,Yes,£10.00-£14.99
Hatchlands Park,South East,Surrey,Guildford,Rural,,Historic House/ House and Garden / Palace,143314,178400,114822,147983,149891,172587,Exact,"100,001-200,000",15%,-3%,Yes,Not available
Fishers Adventure Farm Park,South East,West Sussex,Chichester,Rural,RH14 0EG,Leisure / Theme Park,172137,176932,106168,156621,188365,177122,Exact,"100,001-200,000",-6%,0%,Yes,£15 or Over
Kirkstall Abbey,Y&H,West Yorkshire,Leeds,Urban,LS5 3EH,Museum and/or Art Gallery,285195,176314,30395,103139,132175,148815,Exact,"100,001-200,000",13%,-16%,Yes,£5.00-£7.49
Audley End House and Gardens,East of England,Essex,Saffron Walden,Rural,,Historic House/ House and Garden / Palace,170042,175725,74627,167347,165875,148742,Exact,"100,001-200,000",-10%,-15%,Yes,£15 or Over
Cotehele,South West,Cornwall,Saltash,Rural,,Historic House/ House and Garden / Palace,167813,175565,50939,105406,124972,140056,Exact,"100,001-200,000",12%,-20%,Yes,Not available
Ikon Gallery,West Midlands,West Midlands,Birmingham,Urban,B1 2HS,Museum and/or Art Gallery,177157,175023,73453,97422,274107,231911,Exact,"Over 200,000",-15%,33%,No,Not Applicable
Hidcote Manor Garden (National Trust),South West,Gloucestershire,Chipping Campden,Rural,,Garden,164179,174600,94893,141615,142900,152391,Exact,"100,001-200,000",7%,-13%,Yes,Not available
Oxford Botanic Garden,South East,Oxfordshire,Oxford,Urban,,Garden,142440,174148,80790,120465,164729,177806,An Estimate,"100,001-200,000",8%,2%,Yes,£5.00-£7.49
Hinton Ampner Garden,South East,Hampshire,Alresford,Rural,,Historic House/ House and Garden / Palace,128892,170004,103255,124322,127363,160426,Exact,"100,001-200,000",26%,-6%,Yes,Not available
Hughenden Manor,South East,Buckinghamshire,High Wycombe,Rural,,Historic House/ House and Garden / Palace,145953,168809,106399,121462,130266,140303,Exact,"100,001-200,000",8%,-17%,Yes,Not available
Kent Life,South East,Kent,Maidstone,Rural,ME14 3AU,Farm / Rare Breeds / Farm Animals,156023,168334,Not available,108568,164989,167514,,"100,001-200,000",2%,0%,Yes,£10.00-£14.99
Sedgwick Museum of Earth Sciences,East of England,Cambridgeshire,Cambridge,Rural,,Museum and/or Art Gallery,157690,168021,27780,25122,67177,85760,,"50,001-100,000",28%,-49%,No,Not Applicable
Standen,South East,West Sussex,Mid Sussex,Rural,RH19 4NE,Historic House/ House and Garden / Palace,147084,166337,98084,113139,134407,137464,Exact,"100,001-200,000",2%,-17%,Yes,£10.00-£14.99
Bodiam Castle,South East,East Sussex,Robertsbridge,Rural,,Castle / Fort,153742,165785,72847,123604,151275,150374,Exact,"100,001-200,000",-1%,-9%,Yes,Not available
North Norfolk Railway,East of England,Norfolk,North Norfolk,Coastal,NR26 8RA,Other Historic / Scenic Transport Operator,153701,165105,Not available,144042,152322,148801,Exact,"100,001-200,000",-2%,-10%,Yes,£15 or Over
Stratford-upon-Avon Butterfly Farm,West Midlands,Warwickshire,Stratford-on-Avon,Urban,CV37 7LS,Safari Park / Zoo / Aquarium / Aviary,177638,164825,89839,116277,198564,208416,Exact,"Over 200,000",5%,26%,Yes,£7.50-£9.99
The Potteries Museum & Art Gallery,West Midlands,Staffordshire,Stoke-on-Trent,Urban,ST1 3DW,Museum and/or Art Gallery,154742,164653,41209,44526,134184,132628,Exact,"100,001-200,000",-1%,-19%,No,Not Applicable
West Stow Anglo Saxon Village,East of England,Suffolk ,Bury St Edmunds,Rural,,Heritage / Visitor Centre,159140,163286,69918,17930,24572,19578,Exact,"10,001 to 20,000",-20%,-88%,Yes,£5.00-£7.49
Whitby Abbey,Y&H,North Yorkshire,Whitby,Coastal,,Historic Monument / Archaeological Site,147566,161461,67550,144246,180744,171921,Exact,"100,001-200,000",-5%,6%,Yes,£10.00-£14.99
Clifford's Tower,Y&H,North Yorkshire,York,Urban,,Castle / Fort,154701,160815,40408,Not available,171024,171986,Exact,"100,001-200,000",1%,7%,Yes,£7.50-£9.99
Manchester Cathedral,North West,Greater Manchester,Manchester,Urban,M3 1SX,Place of Worship (still in use),143000,160000,25600,49400,150082,192938,Exact,"100,001-200,000",29%,21%,No,Not Applicable
Basildon Park,South East,Berkshire,Reading,Rural,,Historic House/ House and Garden / Palace,143997,158606,113348,140103,129820,146042,Exact,"100,001-200,000",12%,-8%,Yes,Not available
Winkworth Arboretum,South East,Surrey,Godalming,Rural,,Garden,141141,158027,126944,167012,159887,111965,Exact,"100,001-200,000",-30%,-29%,Yes,Not available
Nostell Priory & Parkland,Y&H,West Yorkshire,Wakefield,Rural,,Historic House/ House and Garden / Palace,145540,157095,21414,110894,137066,143859,Exact,"100,001-200,000",5%,-8%,Yes,£10.00-£14.99
Ightham Mote,South East,Kent,Sevenoaks,Rural,,Historic House/ House and Garden / Palace,146721,156298,71915,91402,Not available,144796,Exact,"100,001-200,000",Not available,-7%,Yes,Not available
Tintagel Castle,South West,Cornwall,Tintagel,Coastal,,Castle / Fort,230584,154996,125238,267094,279608,334195,Exact,"Over 200,000",20%,116%,Yes,£15 or Over
Wildwood,South East,Kent,Canterbury,Rural,CT6 7LQ,Safari Park / Zoo / Aquarium / Aviary,173884,154607,Not available,Not available,162823,139838,Exact,"100,001-200,000",-14%,-10%,Yes,£15 or Over
Walmer Castle and Gardens,South East,Kent,Deal,Coastal,,Castle / Fort,103905,152391,57159,103788,130516,137571,Exact,"100,001-200,000",5%,-10%,Yes,£15 or Over
Beningbrough Hall,Y&H,North Yorkshire,York,Rural,,Historic House/ House and Garden / Palace,142684,152389,73881,118977,127254,148064,Exact,"100,001-200,000",16%,-3%,Yes,£10.00-£14.99
The Natural History Museum at Tring,East of England,Hertfordshire,Tring,Urban,,Museum,150580,151787,50682,52221.01167,134208,153953,,"100,001-200,000",15%,1%,No,Not Applicable
History of Science Museum,South East,Oxfordshire,Oxford,Urban,,Museum and/or Art Gallery,176757,148412,24999,32107,128284,195643,An Estimate,"100,001-200,000",53%,32%,No,Not Applicable
Hamsterley Forest,North East,Durham,Bishop Auckland,Rural,,Country Park,182664,146763,224171,197970,160929,167755,Exact,"100,001-200,000",4%,14%,Yes,Not available
Anne Hathaway's Cottage,West Midlands,Warwickshire,Stratford-upon-Avon,Rural,,Historic House/ House and Garden / Palace,144516,146698,12397,23199,42294,89034,Exact,"50,001-100,000",111%,-39%,Yes,£10.00-£14.99
Greys Court,South East,Oxfordshire,Henley-On-Thames,Rural,,Historic House/ House and Garden / Palace,127870,146446,80875,115556,121950,137746,Exact,"100,001-200,000",13%,-6%,Yes,Not available
Farmer Palmer's Farm Park,South West,Dorset,Purbeck,Coastal,BH16 6EU,Farm / Rare Breeds / Farm Animals,121612,144155,78470,118460,136062,140205,Exact,"100,001-200,000",3%,-3%,Yes,£15 or Over
1066 Battle Abbey and Battlefield,South East,East Sussex,Bexhill And Battle,Rural,,Historic Monument / Archaeological Site,123870,136647,70836,91690,108113,123733,Exact,"100,001-200,000",14%,-9%,Yes,£15 or Over
Wrest Park,East of England,Bedfordshire ,Bedford,Rural,,Historic House/ House and Garden / Palace,128980,135420,106768,151249,158737,194693,Exact,"100,001-200,000",23%,44%,Yes,£15 or Over
University Museum of Zoology,East of England,Cambridgeshire,Cambridge,Coastal,,Museum and/or Art Gallery,124649,134739,31182,46888,103604,138886,,"100,001-200,000",34%,3%,No,Not Applicable
Eltham Palace,London,Greater London,London,Urban,,Historic House/ House and Garden / Palace,110034,134238,46258,93085,128986,140903,Exact,"100,001-200,000",9%,5%,Yes,£15 or Over
Emmetts Garden,South East,Kent,Sevenoaks,Rural,,Garden,116269,133298,87768,124891,115383,126349,Exact,"100,001-200,000",10%,-5%,Yes,Not available
Kenwood House,London,Greater London,London,Urban,,Historic House/ House and Garden / Palace,131126,132468,24136,21513,71877,126953,Exact,"100,001-200,000",77%,-4%,No,Not Applicable
Carisbrooke Castle,South East,Isle of Wight,Newport,Coastal,,Castle / Fort,125664,131358,47323,90974,104891,110727,Exact,"100,001-200,000",6%,-16%,Yes,£10.00-£14.99
Lyme Park & Gardens,North West,Cheshire,Cheshire East,Rural,SK12 2NX,Historic House/ House and Garden / Palace,137911,131272,180458,253065,328322,344769,Exact,"Over 200,000",5%,163%,Yes,£15 or Over
Avebury Manor and Garden,South West,Wiltshire,Marlborough,Rural,,Historic House/ House and Garden / Palace,96686,129983,10705,Not available,53027,66862,Exact,"50,001-100,000",26%,-49%,Yes,Not available
Biddulph Grange Gardens,West Midlands,Staffordshire,Staffordshire Moorlands,Urban,ST8 7SD,Garden,127065,129256,50000,124927,128483,137800,An Estimate,"100,001-200,000",7%,7%,Yes,£10.00-£14.99
Brownsea Island,South West,Dorset,Poole,Coastal,,Nature Reserve / Wetlands / Wildlife Trips,132256,128152,42159,78089,83579,91471,Exact,"50,001-100,000",9%,-29%,Yes,Not available
"Felbrigg Hall, Garden and Park",East of England,Norfolk ,Norwich,Rural,,Historic House/ House and Garden / Palace,118479,128122,81168,105289,120952,128427,Exact,"100,001-200,000",6%,0%,Yes,£10.00-£14.99
Clare Castle Country Park,East of England,Suffolk,St Edmundsbury,Rural,CO10 8NW,Country Park,120000,127500,127500,130000,120000,120000,An Estimate,"100,001-200,000",0%,-6%,No,Not Applicable
Sizergh Castle and Garden,North West,Cumbria,Kendal,Rural,,Historic House/ House and Garden / Palace,112651,127335,56085,89563,123743,128647,Exact,"100,001-200,000",4%,1%,Yes,Not available
GWSR Gloucestershire Warwickshire Steam Railway,South West,Gloucestershire,,Urban,GL54 5LD,Steam  / Heritage Railway,144000,125000,Not available,75000,87000,102000,Exact,"100,001-200,000",17%,-18%,Yes,£15 or Over
Shakespeare's New Place,West Midlands,Warwickshire,Stratford-upon-Avon,Urban,,Historic House/ House and Garden / Palace,109452,124953,16210,17886,33661,62516,Exact,"50,001-100,000",86%,-50%,Yes,£10.00-£14.99
Batemans,South East,East Sussex,Rother,Rural,TN19 7DS,Historic House/ House and Garden / Palace,117668,124788,54007,83431,112235,124544,Exact,"100,001-200,000",11%,0%,Yes,£10.00-£14.99
Guildhall Art Gallery,London,Greater London,CITY OF LONDON,Urban,EC2V 5AE,Museum and/or Art Gallery,116616,123731,27712,35710,46423,110211,Exact,"100,001-200,000",137%,-11%,No,Not Applicable
